time,lat,lat,U,V
238584.0,20.0,120.00000762939452,-6.390584,3.0607604999999998
238590.0,20.0,120.00000762939452,-1.7781744,2.675764
238596.0,20.0,120.00000762939452,-1.5928307,0.8909138000000001
238602.0,20.0,120.00000762939452,0.56701034,0.16923618
238608.0,20.0,120.00000762939452,-0.106731355,-1.3536196000000003
238614.0,20.0,120.00000762939452,0.35647976,0.18849802
238620.0,20.0,120.00000762939452,0.4936592000000001,-1.0529623
238626.0,20.0,120.00000762939452,-1.0714854999999999,-0.07104015
238632.0,20.0,120.00000762939452,-2.2266998,0.68383414
238638.0,20.0,120.00000762939452,-2.4786843999999997,0.42878446
238644.0,20.0,120.00000762939452,-1.5372629,-4.2365932
238650.0,20.0,120.00000762939452,-3.3882513,-4.0959625
238656.0,20.0,120.00000762939452,-4.661148000000001,-3.0276737000000002
238662.0,20.0,120.00000762939452,-6.2099485,-1.8715258000000001
238668.0,20.0,120.00000762939452,-8.346371000000001,-2.59795
238674.0,20.0,120.00000762939452,-8.012438000000001,-2.7713099
238680.0,20.0,120.00000762939452,-9.131111,-0.72427094
238686.0,20.0,120.00000762939452,-6.795138400000001,1.909275
238692.0,20.0,120.00000762939452,-5.725278,0.32049954
238698.0,20.0,120.00000762939452,-5.0247355,0.22805423
238704.0,20.0,120.00000762939452,-2.148922,-0.42932987
238710.0,20.0,120.00000762939452,-1.0114746,-1.6759453000000002
238716.0,20.0,120.00000762939452,-1.2810106,-2.5813522
238722.0,20.0,120.00000762939452,-0.94251156,-1.9348431000000001
238728.0,20.0,120.00000762939452,-0.85900396,-0.42872715
238734.0,20.0,120.00000762939452,2.7428741000000003,0.7245154
238740.0,20.0,120.00000762939452,3.9479800000000003,-1.8401584999999998
238746.0,20.0,120.00000762939452,2.8280152999999997,-5.5390053
238752.0,20.0,120.00000762939452,1.7194175999999999,-6.258296
238758.0,20.0,120.00000762939452,-1.6458263,-5.924567
238764.0,20.0,120.00000762939452,-9.054999,-4.989031
238770.0,20.0,120.00000762939452,-11.369525999999999,-4.2239523000000005
238776.0,20.0,120.00000762939452,-11.1182375,-3.4544363
238782.0,20.0,120.00000762939452,-10.551591,-3.4904099000000004
238788.0,20.0,120.00000762939452,-11.073188,-2.798111
238794.0,20.0,120.00000762939452,-9.391603,-1.1456203
238800.0,20.0,120.00000762939452,-7.544671000000001,-1.7779169
238806.0,20.0,120.00000762939452,-9.132653999999999,-3.3931646
238812.0,20.0,120.00000762939452,-10.85567,-1.8926306
238818.0,20.0,120.00000762939452,-9.190269,0.46014309999999997
238824.0,20.0,120.00000762939452,-9.511968,0.26980877
238830.0,20.0,120.00000762939452,-9.352535000000001,1.9552154999999998
238836.0,20.0,120.00000762939452,-9.901678,2.7654104
238842.0,20.0,120.00000762939452,-7.9023533,3.8275309
238848.0,20.0,120.00000762939452,-6.156693499999999,5.53325
238854.0,20.0,120.00000762939452,-1.8724174,2.9114761000000002
238860.0,20.0,120.00000762939452,-1.7196665,0.7476373000000001
238866.0,20.0,120.00000762939452,-1.0907497,0.21372443
238872.0,20.0,120.00000762939452,-0.90958977,0.3777699
238878.0,20.0,120.00000762939452,0.7550229,-1.3656683
